name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;909;0;725;3061;1005;3061;982;0
header;157;163;157;205;1775;205;1775;163
A;948;236;948;263;969;263;969;236
D;924;609;924;625;933;625;933;609
A;971;834;971;836;973;836;973;834
B;955;902;955;929;975;929;975;902
A;927;928;927;943;935;943;935;928
B;835;1372;835;1387;857;1387;857;1372
B;931;1427;931;1442;940;1442;940;1427
A;985;1543;985;1543;986;1543;986;1543
C;957;1572;957;1600;978;1600;978;1572
B;935;1705;935;1721;944;1721;944;1705
A;794;1949;794;1952;795;1952;795;1949
A;943;2121;943;2126;951;2126;951;2121
B;894;2161;894;2177;903;2177;903;2161
D;970;2238;970;2265;991;2265;991;2238
A;942;2343;942;2360;950;2360;950;2343
B;934;2841;934;2866;942;2866;942;2841
