name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;234;0;579;3057;1091;3057;985;0
header;207;157;207;191;1851;191;1851;157
A;746;150;746;153;747;153;747;150
A;701;195;701;195;702;195;702;195
A;994;1342;994;1354;1002;1354;1002;1342
C;1017;1575;1017;1605;1040;1605;1040;1575
D;1019;2188;1019;2215;1039;2215;1039;2188
B;525;2610;525;2629;539;2629;539;2610
B;596;2656;596;2674;611;2674;611;2656
B;680;2786;680;2821;731;2821;731;2786
A;886;2841;886;2856;894;2856;894;2841
B;758;2886;758;2902;767;2902;767;2886
